Player_ID,Final_Group,Difficulty_Recommendation
RggRt45#4697369,Struggling,Decrease Difficulty
JohniceRex#9176033,Struggling,Decrease Difficulty
bootybootykill#1892064,Struggling,Decrease Difficulty
JNaCo#5244172,Struggling,Decrease Difficulty
gomezyayo_007#6596687,Struggling,Decrease Difficulty
Brxndoon7-LK#4002715,Overperforming,Increase Difficulty
bdooory_ab#7095171,Balanced,Keep Difficulty Same
ahevepluto#3505304,Balanced,Keep Difficulty Same
MilkyLemonz-_-#5981249,Overperforming,Increase Difficulty
RPDUNKduo#8122914,Balanced,Keep Difficulty Same
BOBOQQ3#7928912,Struggling,Decrease Difficulty
Rachetevolution,Struggling,Decrease Difficulty
CzarnyDelfinek#9059572,Balanced,Keep Difficulty Same
Damian291207#7986887,Struggling,Decrease Difficulty
SanDrasoSa,Balanced,Keep Difficulty Same
DrunkUnc92#7705654,Balanced,Keep Difficulty Same
whoshotghost#1916366,Balanced,Keep Difficulty Same
Nsory_1#5583298,Overperforming,Increase Difficulty
LimpThaDon,Balanced,Keep Difficulty Same
DeGiove#5248918,Overperforming,Increase Difficulty
TawheedAhmed42,Struggling,Decrease Difficulty
teruteru_yt_#6461227,Balanced,Keep Difficulty Same
edgexgaming8901#9276950,Balanced,Keep Difficulty Same
BrunoMarchione,Struggling,Decrease Difficulty
SlaPzz#6879518,Balanced,Keep Difficulty Same
ferni775#9063204,Struggling,Decrease Difficulty
HORUS REED#8123889,Balanced,Keep Difficulty Same
CohesiveMango93#8505922,Balanced,Keep Difficulty Same
Bobdustt#2422031,Balanced,Keep Difficulty Same
caliopez99#8569536,Struggling,Decrease Difficulty
EH4B_367#1401846,Balanced,Keep Difficulty Same
sammy7227#7543148,Struggling,Decrease Difficulty
WilcyWilson#2599001,Struggling,Decrease Difficulty
URjustBADXD#7190593,Struggling,Decrease Difficulty
DaydayLadd96#1594916,Balanced,Keep Difficulty Same
S3ND3RBUB12#9216137,Balanced,Keep Difficulty Same
Die#1566463,Balanced,Keep Difficulty Same
Jay-WKT#9248671,Balanced,Keep Difficulty Same
McWiggins14#5533106,Balanced,Keep Difficulty Same
SharkPawgin#5823839,Overperforming,Increase Difficulty
Manuel Alarcon1#6037069,Struggling,Decrease Difficulty
LEAN GAL#3205759,Balanced,Keep Difficulty Same
Ludsghy#4258818,Balanced,Keep Difficulty Same
Macavic#1093672,Struggling,Decrease Difficulty
swayfaze097#4838954,Balanced,Keep Difficulty Same
Jacyków#9892624,Balanced,Keep Difficulty Same
Sir_Luffwaffles1#7708807,Balanced,Keep Difficulty Same
Grrrr pow#5106418,Balanced,Keep Difficulty Same
DeadShot1687#6299823,Balanced,Keep Difficulty Same
leandr1nho13#4383266,Struggling,Decrease Difficulty
Blom-Tiee#6925955,Struggling,Decrease Difficulty
Unfinishe#7062263,Balanced,Keep Difficulty Same
Passion_Divine#1903567,Struggling,Decrease Difficulty
Sup Solaay#9600056,Balanced,Keep Difficulty Same
Gaqwe33399#4850936,Balanced,Keep Difficulty Same
T3agan07#6903176,Balanced,Keep Difficulty Same
Thnikkamaan,Balanced,Keep Difficulty Same
Mystica#3905510,Balanced,Keep Difficulty Same
user32849001#6793597,Balanced,Keep Difficulty Same
lll#3456667,Struggling,Decrease Difficulty
Hunter_S_Bombin#4973033,Balanced,Keep Difficulty Same
blackiechan00,Balanced,Keep Difficulty Same
XReyesT18#7041180,Struggling,Decrease Difficulty
FaZe Splitter#1010390,Overperforming,Increase Difficulty
Russbuck#9798189,Overperforming,Increase Difficulty
Luluchiaa#8768510,Struggling,Decrease Difficulty
fireland56#3811414,Struggling,Decrease Difficulty
Teo#8038666,Struggling,Decrease Difficulty
Mhamed9772#8788714,Struggling,Decrease Difficulty
kamazsoft#1273914,Struggling,Decrease Difficulty
willick#5324561,Balanced,Keep Difficulty Same
TheRealKulumbele#2435541,Struggling,Decrease Difficulty
AydsAydsAyds#8842784,Struggling,Decrease Difficulty
Ksk gustav#1566519,Balanced,Keep Difficulty Same
Papi flashy#5364268,Balanced,Keep Difficulty Same
JOE ALCANTARA#5896324,Struggling,Decrease Difficulty
viniciusvgs#9944935,Balanced,Keep Difficulty Same
deepies#8015304,Struggling,Decrease Difficulty
AskarkGG#9024740,Overperforming,Increase Difficulty
Conberve440#8622297,Overperforming,Increase Difficulty
JustZiggy,Balanced,Keep Difficulty Same
Lordtachanka438#7529291,Balanced,Keep Difficulty Same
Luiselbetoven#1584978,Balanced,Keep Difficulty Same
RoboNupe#9691851,Struggling,Decrease Difficulty
Abyss#7220618,Balanced,Keep Difficulty Same
infamousabe84,Overperforming,Increase Difficulty
axelsanchez200#1249784,Struggling,Decrease Difficulty
rftrtrtfd#7129073,Balanced,Keep Difficulty Same
TashEll5389#3508436,Struggling,Decrease Difficulty
420_Vegas#7916528,Overperforming,Increase Difficulty
RST KIRHA#3661611,Balanced,Keep Difficulty Same
thx f0r the kill#4114462,Struggling,Decrease Difficulty
prinz_rashid#8712420,Struggling,Decrease Difficulty
ERICKVEGA007#8654842,Struggling,Decrease Difficulty
Greyfox#8248495,Balanced,Keep Difficulty Same
ezzyy0095#7778150,Balanced,Keep Difficulty Same
PaRaDoXx#2893506,Balanced,Keep Difficulty Same
Trollkingdabs,Balanced,Keep Difficulty Same
stilgar300,Struggling,Decrease Difficulty
LittleAiden0716#1189735,Balanced,Keep Difficulty Same
LUCIFERxDARK#8843871,Struggling,Decrease Difficulty
MrDeniiz10#1986742,Balanced,Keep Difficulty Same
Legacy#3417190,Balanced,Keep Difficulty Same
you1i#8115611,Struggling,Decrease Difficulty
livernutz#5465911,Overperforming,Increase Difficulty
Faisal_kh_14#4163654,Struggling,Decrease Difficulty
ownED#4592237,Balanced,Keep Difficulty Same
reddyfied#5519579,Balanced,Keep Difficulty Same
yX PieT Xy#6264334,Struggling,Decrease Difficulty
LIangxxx#4226202,Struggling,Decrease Difficulty
TSM_Ulito67#7958396,Struggling,Decrease Difficulty
CannedBread93#2332353,Balanced,Keep Difficulty Same
Andy_Ferr_Artist#1046989,Struggling,Decrease Difficulty
lowher#1074214,Struggling,Decrease Difficulty
2SaucyBoii#9086331,Overperforming,Increase Difficulty
SwLeyton#8704086,Struggling,Decrease Difficulty
G-EVER#4292742,Balanced,Keep Difficulty Same
NoamK#9693918,Balanced,Keep Difficulty Same
ELITOMxtreme13,Struggling,Decrease Difficulty
LamerGamer11#6047414,Balanced,Keep Difficulty Same
pops59,Balanced,Keep Difficulty Same
Savage6ixBuffalo#6138644,Balanced,Keep Difficulty Same
Wolffe_1st_Recon#6733591,Balanced,Keep Difficulty Same
StekX#5406093,Struggling,Decrease Difficulty
Mr_TinyEagle24#6604078,Balanced,Keep Difficulty Same
mohbeau95#5524583,Struggling,Decrease Difficulty
Rmarssella2#8070556,Struggling,Decrease Difficulty
lillelund91#2522553,Balanced,Keep Difficulty Same
AllinatAlomar#9003682,Struggling,Decrease Difficulty
micasnysom#2811534,Struggling,Decrease Difficulty
PVT FishCooch#4411911,Overperforming,Increase Difficulty
Supr3mo#6991785,Balanced,Keep Difficulty Same
DStizzy#2268939,Overperforming,Increase Difficulty
cristianteatino#2716468,Balanced,Keep Difficulty Same
ghost_adan123#4376935,Balanced,Keep Difficulty Same
d3rdud32017#5663104,Overperforming,Increase Difficulty
altayehhamza#6513767,Balanced,Keep Difficulty Same
悪夢 猿 猿怠惰な怠惰な#7591947,Overperforming,Increase Difficulty
OOPS_U_DIED71#2527129,Balanced,Keep Difficulty Same
TTIN-MAN-99#5708666,Struggling,Decrease Difficulty
jojonino7#8789302,Struggling,Decrease Difficulty
OgBabytelli#5877408,Balanced,Keep Difficulty Same
vivaloslachos7,Struggling,Decrease Difficulty
CaptnDee#8295627,Overperforming,Increase Difficulty
Pessadilla#8628194,Struggling,Decrease Difficulty
Ties veurop jong#5386670,Balanced,Keep Difficulty Same
Mellymelz,Balanced,Keep Difficulty Same
Angelpro7771013#5002628,Struggling,Decrease Difficulty
Biggie cheese#3896736,Balanced,Keep Difficulty Same
b5 bigwill#3505460,Balanced,Keep Difficulty Same
AlessioGordillo1#5105858,Struggling,Decrease Difficulty
lucithepoessie#1567630,Struggling,Decrease Difficulty
CODman0024#4176592,Balanced,Keep Difficulty Same
qazws1577#9667938,Struggling,Decrease Difficulty
o-kintamdekao#9388325,Struggling,Decrease Difficulty
Speeddemon358,Overperforming,Increase Difficulty
flobu2607#2656812,Overperforming,Increase Difficulty
ArrivingSage684#2261357,Struggling,Decrease Difficulty
Dyneer89#7222136,Struggling,Decrease Difficulty
Poison#2907106,Balanced,Keep Difficulty Same
Jeffrey#1890968,Balanced,Keep Difficulty Same
NainFéroce#4542111,Balanced,Keep Difficulty Same
SmarcusAurelius#9607802,Struggling,Decrease Difficulty
imbsi2011#6620111,Struggling,Decrease Difficulty
Hoss2422#8165512,Struggling,Decrease Difficulty
abbassalem001#7340834,Balanced,Keep Difficulty Same
clastic_skyline#2465354,Struggling,Decrease Difficulty
Moe Lester#4727591,Balanced,Keep Difficulty Same
Zoeytoby2005#3211294,Struggling,Decrease Difficulty
Simonr3825#6948545,Balanced,Keep Difficulty Same
Feyenoord0112#4362600,Struggling,Decrease Difficulty
asdkii#7844531,Balanced,Keep Difficulty Same
footbawl,Struggling,Decrease Difficulty
Warfam602#8447029,Balanced,Keep Difficulty Same
7ot#5517158,Overperforming,Increase Difficulty
AlbatrosPoete#2974047,Balanced,Keep Difficulty Same
Janne#3768250,Overperforming,Increase Difficulty
Cade2121#4173962,Balanced,Keep Difficulty Same
anon44496684#2274631,Balanced,Keep Difficulty Same
FlexedXxradar#2827944,Balanced,Keep Difficulty Same
omar_de_villa_22#1782583,Struggling,Decrease Difficulty
Cavage#5516573,Struggling,Decrease Difficulty
Xam_snraem#9356911,Struggling,Decrease Difficulty
Echo_Two1#4469098,Balanced,Keep Difficulty Same
konkwistator#9532800,Struggling,Decrease Difficulty
bouthebenjamins#4435275,Overperforming,Increase Difficulty
SPoOKY#6529753,Overperforming,Increase Difficulty
Ayas1612#9957369,Struggling,Decrease Difficulty
Oh Bulletz8267#3366131,Balanced,Keep Difficulty Same
TyM_Seba_13#2401348,Struggling,Decrease Difficulty
carr23-r_#4277497,Struggling,Decrease Difficulty
KrisVal55#2097189,Balanced,Keep Difficulty Same
cEnBlaRk#8777192,Balanced,Keep Difficulty Same
RarefiedLime715#9051704,Struggling,Decrease Difficulty
Matt93650#4727617,Balanced,Keep Difficulty Same
Crusty Lips#5492303,Balanced,Keep Difficulty Same
PeralezFour#4637706,Struggling,Decrease Difficulty
MayTaG204#6314802,Balanced,Keep Difficulty Same
Angery#4467743,Struggling,Decrease Difficulty
TTG Rose8436#4609548,Struggling,Decrease Difficulty
GuiCaverzan#6898851,Balanced,Keep Difficulty Same
Killer-Insstinct#1463361,Balanced,Keep Difficulty Same
MathRei#1322612,Struggling,Decrease Difficulty
Fear DaSweat#8726184,Balanced,Keep Difficulty Same
Ilovelettuce474#7471739,Balanced,Keep Difficulty Same
SmashedDolphins#6984385,Balanced,Keep Difficulty Same
Tav#6226139,Overperforming,Increase Difficulty
S Town King,Balanced,Keep Difficulty Same
adrian_bankss#7070605,Struggling,Decrease Difficulty
Blazer-1965RR#4311847,Struggling,Decrease Difficulty
MaxyMax#3381154,Struggling,Decrease Difficulty
Oopsmyb#7184311,Struggling,Decrease Difficulty
Tastetherambo#4044400,Overperforming,Increase Difficulty
PetRussian#1853832,Overperforming,Increase Difficulty
DutchBro101#5678319,Balanced,Keep Difficulty Same
Voids-_-Times#5188154,Struggling,Decrease Difficulty
jimmyntrn123#7265469,Balanced,Keep Difficulty Same
Quasimoto#4762558,Balanced,Keep Difficulty Same
jjrdk4,Balanced,Keep Difficulty Same
GeT_DesTroYeD439#8882692,Balanced,Keep Difficulty Same
sanima34#5689127,Struggling,Decrease Difficulty
thrasherboi4ever#7579377,Struggling,Decrease Difficulty
nicocrack120#3055300,Struggling,Decrease Difficulty
xbL#1857429,Struggling,Decrease Difficulty
jahyoot,Overperforming,Increase Difficulty
Kowzyy#1392788,Balanced,Keep Difficulty Same
GaubanG#1753126,Struggling,Decrease Difficulty
vertilo818#5736609,Balanced,Keep Difficulty Same
DajwetYT#7632829,Struggling,Decrease Difficulty
getoutofmyface#7914894,Balanced,Keep Difficulty Same
LeafyKibbles959#3586335,Overperforming,Increase Difficulty
Jincar#7728971,Struggling,Decrease Difficulty
b_peek_798#7382601,Overperforming,Increase Difficulty
davidp656728#5900551,Balanced,Keep Difficulty Same
JustTrobe#8232705,Struggling,Decrease Difficulty
LCD#6383035,Overperforming,Increase Difficulty
aLlEz#6592097,Struggling,Decrease Difficulty
Sno0w#5116023,Struggling,Decrease Difficulty
koala750mortel#3459351,Balanced,Keep Difficulty Same
CSO_TEEYT#1978844,Balanced,Keep Difficulty Same
TWILL_#8779354,Balanced,Keep Difficulty Same
Rocket1227#5915450,Balanced,Keep Difficulty Same
DeyvsonStrife#6778065,Struggling,Decrease Difficulty
luckytbaldino#9685111,Struggling,Decrease Difficulty
anon12823578#1975965,Struggling,Decrease Difficulty
Stu332#4367651,Struggling,Decrease Difficulty
Dedey011#5948680,Struggling,Decrease Difficulty
Pyroboy5784#3932074,Struggling,Decrease Difficulty
G4B lyv#4289403,Struggling,Decrease Difficulty
GlockYaDown97#6408861,Struggling,Decrease Difficulty
xXLTCupcakeXx,Balanced,Keep Difficulty Same
VictorPani10#2810068,Balanced,Keep Difficulty Same
Tink31794#6650942,Struggling,Decrease Difficulty
Jamin0420#6398568,Balanced,Keep Difficulty Same
Angelo21299#7990114,Balanced,Keep Difficulty Same
andreolli#7708532,Balanced,Keep Difficulty Same
J27r#4147288,Struggling,Decrease Difficulty
juznatribina1970#4773578,Struggling,Decrease Difficulty
R3tr0#7707132,Balanced,Keep Difficulty Same
elchusis#2593484,Balanced,Keep Difficulty Same
giggitys#9179932,Overperforming,Increase Difficulty
Frengers1998#2768367,Balanced,Keep Difficulty Same
ttv_swavy10#1088254,Balanced,Keep Difficulty Same
Strife-Six,Struggling,Decrease Difficulty
Micoo_63#8781678,Balanced,Keep Difficulty Same
hhgh#4185342,Balanced,Keep Difficulty Same
itachi#5827893,Struggling,Decrease Difficulty
Miztress Zombie#8214431,Struggling,Decrease Difficulty
ibr_ahim06#7916315,Struggling,Decrease Difficulty
JDlindsay#8817801,Overperforming,Increase Difficulty
S1806Oliver#3355454,Struggling,Decrease Difficulty
icicle_df#8753477,Balanced,Keep Difficulty Same
Milobanos72#7517638,Struggling,Decrease Difficulty
Doctor_Kompot#5130686,Struggling,Decrease Difficulty
eddieecuellar#6232606,Balanced,Keep Difficulty Same
WalkerHz#3198307,Struggling,Decrease Difficulty
mateo21k_#4185352,Struggling,Decrease Difficulty
WangsOut01#5170237,Balanced,Keep Difficulty Same
bannana panda64#5880079,Balanced,Keep Difficulty Same
Wluczykij1988#9793528,Struggling,Decrease Difficulty
Don_Guerra04#3423306,Balanced,Keep Difficulty Same
Hagen#2592855,Struggling,Decrease Difficulty
Not-yan333#8399938,Struggling,Decrease Difficulty
Venom3738#5338665,Balanced,Keep Difficulty Same
RuthlessMING#6062357,Struggling,Decrease Difficulty
MoldyMilkLover34#5849713,Balanced,Keep Difficulty Same
PotentiallyXaos,Balanced,Keep Difficulty Same
Christian2017Tex#9602617,Balanced,Keep Difficulty Same
satilitdishwashr#1605506,Balanced,Keep Difficulty Same
DIEHARDRACER36#1388147,Balanced,Keep Difficulty Same
xsg_sin#8230783,Struggling,Decrease Difficulty
46ct,Struggling,Decrease Difficulty
hiddentechno#6892073,Balanced,Keep Difficulty Same
ilyesjsk06#4669067,Struggling,Decrease Difficulty
Missak-Ant#2385272,Struggling,Decrease Difficulty
anon94916160#1248157,Struggling,Decrease Difficulty
SpazzyChazzy1#3685694,Balanced,Keep Difficulty Same
SUN_OF_A_BEACH25,Struggling,Decrease Difficulty
Slittysynsir#2464738,Balanced,Keep Difficulty Same
eliver_7890#8661547,Struggling,Decrease Difficulty
guizao23#6674996,Struggling,Decrease Difficulty
大帅财#1286178,Struggling,Decrease Difficulty
R3CTCru33077#1645673,Struggling,Decrease Difficulty
weav_13#1674785,Balanced,Keep Difficulty Same
iTz Carlit0s#6152832,Struggling,Decrease Difficulty
CF Pxzito#4840851,Balanced,Keep Difficulty Same
FireToaster6134#6244699,Struggling,Decrease Difficulty
PixelyPlazma#2151886,Balanced,Keep Difficulty Same
KamikaziMoose#3579853,Balanced,Keep Difficulty Same
UkraineSaiyan#3810058,Balanced,Keep Difficulty Same
humanpolarbear#9108073,Struggling,Decrease Difficulty
Master#2556096,Balanced,Keep Difficulty Same
the_hollyster#9796860,Balanced,Keep Difficulty Same
rallying_oval771#4436708,Struggling,Decrease Difficulty
xXxPR3DATOR#6075491,Balanced,Keep Difficulty Same
今晚我来搞#4268210,Struggling,Decrease Difficulty
Baby Pluto#9935815,Overperforming,Increase Difficulty
Kalem#1808520,Balanced,Keep Difficulty Same
XxETxxX#1881233,Balanced,Keep Difficulty Same
Txengeez#4163511,Struggling,Decrease Difficulty
EvilGenius13#3069213,Struggling,Decrease Difficulty
twartsly#6942236,Balanced,Keep Difficulty Same
Eimo#2528837,Struggling,Decrease Difficulty
Krox#7640270,Balanced,Keep Difficulty Same
Fushilossom#7027189,Struggling,Decrease Difficulty
Yourdaddy12#2905883,Struggling,Decrease Difficulty
hHmM#4917398,Struggling,Decrease Difficulty
CarlyUva2392#5796869,Struggling,Decrease Difficulty
general waste#6895114,Balanced,Keep Difficulty Same
68#9931432,Struggling,Decrease Difficulty
XXXTENTACION#5582814,Overperforming,Increase Difficulty
WOLFWAR_1106#2548706,Balanced,Keep Difficulty Same
pymdragon#5685104,Struggling,Decrease Difficulty
CrimsonNight#7218001,Balanced,Keep Difficulty Same
XRufyX,Overperforming,Increase Difficulty
yn_Lawson#5548183,Balanced,Keep Difficulty Same
AlexC1838#6065295,Balanced,Keep Difficulty Same
FurryCoder87771#8437293,Balanced,Keep Difficulty Same
U_DRx_#5403725,Struggling,Decrease Difficulty
CoziestDiamond2#7583218,Balanced,Keep Difficulty Same
Reflex#8673705,Overperforming,Increase Difficulty
lvelez1#9961141,Balanced,Keep Difficulty Same
날동이#4775901,Balanced,Keep Difficulty Same
PakistanFlow#6848963,Struggling,Decrease Difficulty
mariete12#4213519,Balanced,Keep Difficulty Same
coluna ferreira#7686336,Struggling,Decrease Difficulty
Anivia#7393555,Balanced,Keep Difficulty Same
阿杰哥哥#4397620,Balanced,Keep Difficulty Same
Kennys#2612737,Struggling,Decrease Difficulty
GuillermoPlay64#8482042,Struggling,Decrease Difficulty
RicoP33#8756696,Overperforming,Increase Difficulty
没钱玩呢吗哔#5971909,Balanced,Keep Difficulty Same
Holydiver#3952175,Struggling,Decrease Difficulty
Jaumzera#9982519,Overperforming,Increase Difficulty
HtL ST33ZY#6775411,Balanced,Keep Difficulty Same
kartracer021,Balanced,Keep Difficulty Same
jubilo_locativo#3882078,Struggling,Decrease Difficulty
Hopper#9252246,Balanced,Keep Difficulty Same
RICKYBUTTER2207#4646823,Balanced,Keep Difficulty Same
xxxLqBOoss#7519765,Struggling,Decrease Difficulty
eric8a3815#8363902,Struggling,Decrease Difficulty
EpicE#7325960,Balanced,Keep Difficulty Same
SuPeRzZ HD#1812640,Struggling,Decrease Difficulty
KSiS7#8799671,Struggling,Decrease Difficulty
Pistenpiranha#4434201,Balanced,Keep Difficulty Same
Golden Freddy#7659026,Balanced,Keep Difficulty Same
JugoFN#1106955,Balanced,Keep Difficulty Same
mariano2626#1433651,Struggling,Decrease Difficulty
ProjectMaccin110#3465666,Balanced,Keep Difficulty Same
Barthmel#2064600,Struggling,Decrease Difficulty
XxLukitroNxX#7557129,Struggling,Decrease Difficulty
vbenzinger#8317094,Struggling,Decrease Difficulty
sirjuan,Overperforming,Increase Difficulty
lucas0511#3715220,Struggling,Decrease Difficulty
Xtaka99,Struggling,Decrease Difficulty
Sovr#5859784,Balanced,Keep Difficulty Same
slipperyglock#2897856,Struggling,Decrease Difficulty
The Toad#1813352,Balanced,Keep Difficulty Same
FaZe_Wuason#1587454,Balanced,Keep Difficulty Same
Phillip#9315911,Struggling,Decrease Difficulty
KingBosss21#8522313,Balanced,Keep Difficulty Same
B_Smis#3028067,Balanced,Keep Difficulty Same
Skilled_Chaos#4692025,Overperforming,Increase Difficulty
똥묻은똥구멍#9590512,Balanced,Keep Difficulty Same
AceofSpades#2630802,Balanced,Keep Difficulty Same
Im_Mentah#7022765,Struggling,Decrease Difficulty
DuKeEe55_#9631070,Balanced,Keep Difficulty Same
caw_da_amblance#1210165,Balanced,Keep Difficulty Same
Vallkill#4912827,Balanced,Keep Difficulty Same
